번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"123","너를 위한 최고의 선물","히로시마 레이코 글;쟈쟈 그림;김정화 옮김","꿈터","2022","9791167390677","","7","","833.8","1","1","2023-03-10",
"124","귀신이다냥","오쓰카 겐타 글;시바타 케이코 그림;황진희 옮김","길벗어린이","2022","9788955826739","","7","","833.8","1","2","2023-03-10",
"125","겨울이 좋아! 토끼 베이커리","마츠오 리카코 글·그림;김숙 옮김","아르볼","2022","9791162041345","","7","","833.8","1","2","2023-03-10",
"126","개구리 한 마리가","매기 리 지음;이현아 옮김","BARN","2023","9791191738186","","7","","375.1","1","1","2023-03-10",
"127","구름을 키우는 방법","테리 펜;에릭 펜 글·그림;이순영 옮김","북극곰","2022","9791165881931","","7","","843","1","1","2023-03-10",
"128","2제곱미터 세계에서","마에다 미온 글;하타 고시로 그림;고향옥 옮김","한솔수북","2022","9791192686158","","7","116","808.9","1","0","2023-03-10",
"129","감정이 궁금해!","라라 브라이언 글;셸리 라슬로 그림;신인수 옮김","비룡소인터내셔널","2022","9791190896528","","7","","181.7","1","1","2023-03-10",
"130","고롱고롱 하우스","조신애 글·그림","사계절","2023","9791160949919","","7","","813.8","1","2","2023-03-10",
"131","겨울 이불","안녕달 글·그림","창비","2023","9788936455965","","0","","813.8","1","2","2023-03-10",
"132","(흔한남매) 과학 탐험대","흔한남매 원작;이현진,닥터 스코 [공]글;김덕영 그림","주니어김영사","2022","9788934946793","","7","6","404","1","2","2023-03-10",
"133","흥쟁이 고두홍","이수용 글;지문 그림","좋은책어린이","2022","9788928318308","","7","137","808.9","1","2","2023-03-10",
"134","윔피 키드","제프 키니 글·그림;지혜연 옮김","미래엔아이세움","2022","9791168411975","","7","17","843","1","1","2023-03-10",
"135","윔피 키드","제프 키니 글·그림;지혜연 옮김","미래엔","2021","9791168410480","9788937837807","7","16","843","1","1","2023-03-10",
"136","14마리의 아침밥","이와무라 카즈오 지음;박지석 옮김","진선출판사","2022","9791190779692","","7","","833.8","1","1","2023-03-10",
"137","(흔한남매) 이상한 나라의 고전 읽기","흔한남매 원작;최재훈 글;정주연 그림","미래엔","2022","9791168413955","9791168412255","7","2","813.5","1","2","2023-03-10",
"138","태쁘의 퇴마부","태쁘 원작;김혜련 글;이소연 그림;태경,쁘허;샌드박스네트워크","겜툰","2022","9791168440531","","7","5","813.8","1","2","2023-03-10",
